Dish Name,Calories,Proteins,Fats,Carbohydrates,Ingredients
Пирог-торт творожный с яблоком и грушей,179 кКал,8.3 г,9.2 г,14.9 г,"Яйцо куриное (Запекание): 100 г, Масло сливочное 82,5% жирности, традиционное (в т.ч. Вологодское): 5 г, Творог Обезжиренный [Белые Росы]: 100 г, Сметана 15% жирности (Запекание): 40 г, Мука Кокосовая [Здрава]: 10 г, Рисовая мука, белая: 20 г, Льняная Мука [Макфа]: 5 г, Разрыхлитель Теста [Магнит]: 3 г, Корица, молотая: 7 г, Мускатный орех, молотый: 1 г, Ванилин: 1 г, Яблочное пюре: 25 г, Яблочное пюре: 70 г, Груша (Запекание): 100 г, Творог Обезжиренный [Белые Росы]: 100 г, Сметана 15% жирности (Запекание): 50 г, Крахмал картофельный: 40 г, Масло сливочное 82,5% жирности, традиционное (в т.ч. Вологодское): 10 г, Масло сливочное 82,5% жирности, традиционное (в т.ч. Вологодское): 3 г, Сметана 15% жирности: 20 г, Сметана 10% жирности: 10 г, Масло сливочное 82,5% жирности, традиционное (в т.ч. Вологодское): 15 г, Альпен Гольд Горький шоколад 70%: 22 г, Черешня: 10 г, Чернослив (слива сушеная): 10 г"
Творог из кефира,149.1 кКал,8.2 г,7 г,11.3 г,"Кефир 2,5% жирности: 1800 г"
Творожная запеканка из рикотты без сахара//,182.3 кКал,10.4 г,12.9 г,6 г,"Рикотта из коровьего молока со сливками: 678 г, Яйцо куриное (Запекание): 217 г, Манная крупа (Запекание): 50 г, ProFit [PrebioSweet]//: 3 г, Соль поваренная пищевая: 2.05 г, Сливки 20% жирности, пастеризованные (Запекание): 124 г, Молоко 3,2% жирности, стерилизованное (Запекание): 71.8 г, Ванильный экстракт, искуственный, без алкоголя: 1 tsp"
Оладьи с бананом без муки,123.8 кКал,8.7 г,5.6 г,10.7 г,"Greek Yogurt Non-Fat Plain: 150 г, Масло сливочное land o lakes: 2 г, Миндальная мука  Great value: 10 г, Псилиум Husk: 6 г, Эритритол: 5 г, Банан: 100 г, Яйцо куриное (Жарка): 123 г, Сода пищевая, разрыхлитель для выпечки: 1 0,5 tsp"
Укропно-чесночный соус,237.8 кКал,2 г,21.6 г,8.5 г,"Укроп (Мытьё, нарезка): 200 г, Чеснок (Мытьё, нарезка): 20 г, Сахар песок: 1 Чайная ложка (""..., Соль поваренная пищевая: 0.5 Чайная ложка (""..., Подсолнечное масло: 50 г, Оливковое масло: 20 г, Лимонная цедра, сырая: 8 г, Сок лимонный: 20 г"
МилБургер с курицей и тимьяном,113.1 кКал,12.9 г,3.9 г,6.4 г,"Овсяно- шайбочки ""Алька"": 42 г, Салат (латук): 15 г, Помидор (томат), парниковый: 20 г, Огурец парниковый: 8 г, Соус  с греческим йогуртом ,зеленью укропа и петрушки с чесноком: 16 г, Перец халапеньо: 17 г, Шайба куриная с тимьяном: 90 г, Соус чили шрирача: 5 г"
Клецки из курицы и моркови на пару,138.4 кКал,21.9 г,2.4 г,7.1 г,"Куриная грудка (филе) (Варка): 390 г, Батон нарезной: 38 г, Молоко 3,2% жирности, стерилизованное: 50 г, Подсолнечное масло: 2 г, Соль поваренная пищевая: 3 г, Перец черный,  молотый или горошек: 2 г, Морковь (На пару): 66 г"
Оладьи кабачковые с сыром,106.9 кКал,6 г,6 г,7 г,"Кабачок (Жарка): 400 г, Сыр литовский, м.д.ж. 30% в сух. в-ве: 35 г, Соль поваренная пищевая: 3 г, Перец черный,  молотый или горошек: 3 г, Яйцо куриное (Жарка): 115 г, Пшеничная мука, высшего сорта (Жарка): 25 г, Подсолнечное масло: 10 г"
Шайба куриная с тимьяном,148.5 кКал,22.8 г,4.7 г,2.1 г,"Фарш куриный,филе.: 1050 г, Яйцо куриное (Запекание): 150 г, Кукурузная мука желтая грубого помола, цельнозерновая: 30 г, Тимьян, свежий: 8 г, Перец черный,  молотый или горошек: 1 г, Соль поваренная пищевая: 4 г"
Шайба куриная с микрозеленью маша в салатике с овощами с кедровым маслом,86.8 кКал,6.3 г,4.9 г,3.5 г,"Маш (бобы мунг), проросшие, сырые: 30 г, Капуста белокочанная: 60 г, Огурец парниковый: 50 г, Помидор (томат), парниковый: 60 г, Морковь: 50 г, Лимон: 42 г, Оливковое масло: 15 г, Шайба куриная с тимьяном: 95 г"
"Куриные рулеты с творогом, укропом и сыром",205.2 кКал,28 г,6.7 г,7.2 г,"Куриная грудка (филе) (Запекание): 670 г, Творог 5% жирности (Запекание): 180 г, Укроп, свежий: 50 г, Яйцо куриное (Запекание): 50 г, Сыр голландский, брусковый, м.д.ж. 45% в сух. в-ве: 90 г, Панировочные сухари: 70 г"
Печень с грибами в сливочном соусе,130.6 кКал,13.4 г,7.2 г,2.9 г,"Печень куриная (Жарка): 472 г, Шампиньоны (Жарка): 420 г, Лук репчатый (Жарка): 73 г, Морковь (Жарка): 89 г, Чеснок (Припускание): 3 г, Соль поваренная пищевая: 1 г, Перец черный,  молотый или горошек: 2 г, Сливки 10% жирности, пастеризованные (Жарка): 200 г, Подсолнечное масло: 20 г"
"Кабачечи, жареные `альденте`, с чесночной заправкой",36.4 кКал,1 г,1.2 г,4.9 г,"Кабачок (Жарка): 500 г, Соевый соус: 15 г, Подсолнечное масло: 4 г, Соль поваренная пищевая: 1 г, Перец черный,  молотый или горошек: 0.5 г, Уксус столовый 9%: 15 г, Вода: 30 г, Чеснок: 7 г"
Салат из морской капусты,42.1 кКал,1.4 г,1.6 г,5.4 г,"Огурец грунтовый (Мытьё, нарезка): 360 г, Кунжут: 30 г, Капуста морская маринованная Классическая: 800 г, Соевый соус: 15 г"
Шайба куриная с микрозеленью редиски в салатике с овощами с маслом авокадо,114.1 кКал,5.8 г,8.5 г,3.3 г,"Редис, проросшие семена, сырые: 30 г, Помидор (томат), парниковый: 70 г, Огурец парниковый: 60 г, Морковь: 50 г, Капуста белокочанная: 70 г, Авокадо: 67 г, Лимон: 26 г, Кедровый орех, сушеный: 10 г, Масло авокадо: 20 г, Шайба куриная с тимьяном: 97 г"
